,age,age_num,marital status,workinghours,workinghours_num,education,education_num,workclass,occupation,race,sex,income
2017,40-49,4,Married,More than 50,4,"Started College, No Diploma",6,private,Management/Business,White alone,Male,high
12158,40-49,4,Separated,20-39,2,Master or other Degree Beyond Bachelor,9,private,Sales,White alone,Male,low
1992,40-49,4,Married,40-49,3,Bachelor Degree,8,private,Management/Business,White alone,Male,high
389,30-39,3,Never married,40-49,3,High School or GED Diploma,5,private,Transport,Black or African American alone,Male,low
12392,30-39,3,Married,40-49,3,High School or GED Diploma,5,private,"Science, Engineering, Technology",White alone,Female,low
5825,40-49,4,Separated,40-49,3,"Started College, No Diploma",6,private,Sales,Black or African American alone,Female,low
15511,30-39,3,Married,More than 50,4,High School or GED Diploma,5,private,Construction/Extraction,White alone,Male,high
11496,40-49,4,Married,40-49,3,High School or GED Diploma,5,private,Repair/Maintenance,White alone,Male,high
16515,50-59,5,Never married,40-49,3,"Started College, No Diploma",6,private,Repair/Maintenance,Black or African American alone,Male,low
5136,40-49,4,Never married,More than 50,4,Bachelor Degree,8,governmental,Management/Business,Black or African American alone,Female,low
19961,60-69,6,Separated,40-49,3,High School or GED Diploma,5,self employed,Office/Administrative Support,White alone,Female,low
7748,30-39,3,Separated,40-49,3,Middle School,3,private,Transport,Other,Male,low
8018,60-69,6,Separated,40-49,3,"Started College, No Diploma",6,private,Office/Administrative Support,White alone,Female,low
5585,25-29,2,Never married,40-49,3,Bachelor Degree,8,private,Management/Business,Black or African American alone,Male,high
15522,50-59,5,Married,20-39,2,"Started College, No Diploma",6,private,Transport,White alone,Female,low
18675,30-39,3,Married,More than 50,4,Bachelor Degree,8,private,"Science, Engineering, Technology",White alone,Female,high
17102,30-39,3,Married,40-49,3,Bachelor Degree,8,private,Repair/Maintenance,Black or African American alone,Male,high
16021,40-49,4,Married,40-49,3,"Started College, No Diploma",6,private,Service/Hospitality,Black or African American alone,Female,low
10076,60-69,6,Married,40-49,3,High School or GED Diploma,5,governmental,Office/Administrative Support,White alone,Female,low
10141,50-59,5,Separated,40-49,3,Associate Degree,7,private,Production/Assembly,Black or African American alone,Female,high
9760,25-29,2,Married,40-49,3,Bachelor Degree,8,private,Healthcare/Medical Services,White alone,Female,low
7051,30-39,3,Never married,20-39,2,High School or GED Diploma,5,private,Service/Hospitality,White alone,Female,low
18594,25-29,2,Married,More than 50,4,Associate Degree,7,private,Healthcare/Medical Services,White alone,Female,low
3906,30-39,3,Married,More than 50,4,Bachelor Degree,8,self employed,Service/Hospitality,Black or African American alone,Male,low
8785,30-39,3,Married,More than 50,4,Bachelor Degree,8,private,Management/Business,Other,Male,high
17283,Younger than 25,1,Never married,20-39,2,High School or GED Diploma,5,private,Sales,White alone,Female,low
2806,30-39,3,Never married,20-39,2,"Started College, No Diploma",6,private,Education,Black or African American alone,Female,low
7049,25-29,2,Married,40-49,3,"Started College, No Diploma",6,private,Management/Business,White alone,Male,low
8020,40-49,4,Married,40-49,3,"Started College, No Diploma",6,private,Repair/Maintenance,Black or African American alone,Female,high
9837,30-39,3,Married,40-49,3,Associate Degree,7,private,Production/Assembly,White alone,Female,low
20249,50-59,5,Married,More than 50,4,High School or GED Diploma,5,private,Education,Black or African American alone,Female,high
5007,25-29,2,Never married,20-39,2,Bachelor Degree,8,private,Office/Administrative Support,White alone,Male,high
5807,30-39,3,Separated,40-49,3,"Started College, No Diploma",6,private,Protective Services,White alone,Male,low
10866,40-49,4,Married,40-49,3,"Started College, No Diploma",6,private,Management/Business,Black or African American alone,Male,high
5768,60-69,6,Married,20-39,2,High School or GED Diploma,5,private,Sales,White alone,Female,low
11019,40-49,4,Married,40-49,3,Bachelor Degree,8,private,Healthcare/Medical Services,White alone,Female,high
1379,60-69,6,Married,40-49,3,"Started High School, No Diploma",4,private,Service/Hospitality,Black or African American alone,Female,low
12460,25-29,2,Never married,40-49,3,High School or GED Diploma,5,private,Service/Hospitality,Black or African American alone,Female,low
14038,60-69,6,Widowed,40-49,3,High School or GED Diploma,5,private,Office/Administrative Support,White alone,Female,low
11726,Younger than 25,1,Never married,Less than 20,1,"Started High School, No Diploma",4,private,Transport,White alone,Male,low
18303,50-59,5,Married,40-49,3,Master or other Degree Beyond Bachelor,9,governmental,Education,White alone,Female,high
15507,30-39,3,Married,40-49,3,High School or GED Diploma,5,private,Service/Hospitality,Black or African American alone,Female,low
250,Younger than 25,1,Never married,Less than 20,1,"Started College, No Diploma",6,private,Entertainment,White alone,Female,low
20797,40-49,4,Married,40-49,3,Associate Degree,7,self employed,Repair/Maintenance,White alone,Male,low
4966,60-69,6,Separated,20-39,2,"Started College, No Diploma",6,governmental,Management/Business,Black or African American alone,Male,low
18187,40-49,4,Never married,More than 50,4,High School or GED Diploma,5,private,Transport,White alone,Male,low
663,Younger than 25,1,Never married,40-49,3,"Started College, No Diploma",6,private,Service/Hospitality,Black or African American alone,Male,low
1829,50-59,5,Married,40-49,3,"Started College, No Diploma",6,private,Production/Assembly,White alone,Male,high
6969,40-49,4,Married,40-49,3,Associate Degree,7,private,Healthcare/Medical Services,White alone,Female,high
16782,60-69,6,Married,40-49,3,Bachelor Degree,8,private,Management/Business,White alone,Male,high
12369,60-69,6,Married,40-49,3,Bachelor Degree,8,private,"Science, Engineering, Technology",White alone,Male,high
20900,30-39,3,Never married,20-39,2,"Started High School, No Diploma",4,self employed,Service/Hospitality,White alone,Male,low
19676,50-59,5,Married,40-49,3,Bachelor Degree,8,private,Entertainment,White alone,Female,high
15847,50-59,5,Married,More than 50,4,"Started College, No Diploma",6,private,Transport,Black or African American alone,Male,high
18704,50-59,5,Separated,More than 50,4,"Started High School, No Diploma",4,private,Transport,White alone,Male,low
11173,60-69,6,Married,20-39,2,"Started College, No Diploma",6,private,Construction/Extraction,White alone,Male,low
4755,50-59,5,Married,More than 50,4,High School or GED Diploma,5,private,Production/Assembly,Black or African American alone,Male,high
12830,50-59,5,Married,20-39,2,"Started College, No Diploma",6,private,Service/Hospitality,White alone,Male,low
9669,50-59,5,Married,20-39,2,"Started College, No Diploma",6,private,Management/Business,Black or African American alone,Female,high
9570,40-49,4,Married,40-49,3,Associate Degree,7,private,"Science, Engineering, Technology",White alone,Male,low
18976,30-39,3,Married,20-39,2,Master or other Degree Beyond Bachelor,9,private,Healthcare/Medical Services,White alone,Female,high
12584,25-29,2,Married,20-39,2,Bachelor Degree,8,private,Management/Business,White alone,Female,low
8959,30-39,3,Married,40-49,3,Doctorate Degree,10,governmental,Counseling/Mental Health Services,Black or African American alone,Female,high
20468,Older than 70,7,Widowed,40-49,3,High School or GED Diploma,5,private,Office/Administrative Support,White alone,Female,high
21262,Younger than 25,1,Married,20-39,2,Associate Degree,7,governmental,Sales,Black or African American alone,Female,low
21201,30-39,3,Married,40-49,3,Master or other Degree Beyond Bachelor,9,private,Management/Business,Black or African American alone,Female,low
12286,50-59,5,Married,40-49,3,"Started College, No Diploma",6,private,Transport,White alone,Female,high
2588,40-49,4,Married,More than 50,4,Associate Degree,7,private,Healthcare/Medical Services,White alone,Female,high
14782,60-69,6,Married,Less than 20,1,Bachelor Degree,8,private,Education,White alone,Female,low
13468,30-39,3,Married,40-49,3,Master or other Degree Beyond Bachelor,9,governmental,Counseling/Mental Health Services,White alone,Female,low
9559,30-39,3,Married,40-49,3,Bachelor Degree,8,private,Finance/Accounting,White alone,Male,high
21341,30-39,3,Married,40-49,3,High School or GED Diploma,5,governmental,Healthcare/Medical Services,White alone,Female,low
15920,30-39,3,Never married,40-49,3,"Started College, No Diploma",6,private,Production/Assembly,Black or African American alone,Male,high
20504,50-59,5,Married,More than 50,4,Master or other Degree Beyond Bachelor,9,self employed,Management/Business,White alone,Male,high
3635,60-69,6,Married,40-49,3,High School or GED Diploma,5,private,Repair/Maintenance,White alone,Male,high
2952,30-39,3,Married,More than 50,4,High School or GED Diploma,5,private,Service/Hospitality,White alone,Male,low
13321,25-29,2,Married,20-39,2,Associate Degree,7,private,Service/Hospitality,White alone,Female,low
11561,Younger than 25,1,Married,40-49,3,Bachelor Degree,8,private,Management/Business,White alone,Male,low
14394,50-59,5,Never married,40-49,3,High School or GED Diploma,5,self employed,Production/Assembly,White alone,Male,high
12799,30-39,3,Married,40-49,3,"Started College, No Diploma",6,private,Production/Assembly,Black or African American alone,Male,low
9256,25-29,2,Never married,More than 50,4,Master or other Degree Beyond Bachelor,9,private,Transport,White alone,Male,low
4150,50-59,5,Married,40-49,3,Bachelor Degree,8,governmental,Education,White alone,Female,low
11759,40-49,4,Married,More than 50,4,Master or other Degree Beyond Bachelor,9,governmental,Education,White alone,Female,low
16292,40-49,4,Married,More than 50,4,High School or GED Diploma,5,private,Production/Assembly,White alone,Male,high
5845,60-69,6,Married,40-49,3,Bachelor Degree,8,private,Education,Black or African American alone,Male,low
2099,40-49,4,Married,20-39,2,High School or GED Diploma,5,private,Office/Administrative Support,White alone,Female,low
15244,30-39,3,Separated,More than 50,4,"Started College, No Diploma",6,private,Healthcare/Medical Services,White alone,Female,low
826,50-59,5,Separated,More than 50,4,"Started College, No Diploma",6,self employed,Management/Business,White alone,Male,high
12126,50-59,5,Married,40-49,3,"Started College, No Diploma",6,private,Healthcare/Medical Services,White alone,Female,low
5682,25-29,2,Married,20-39,2,"Started College, No Diploma",6,private,Education,White alone,Female,low
15251,50-59,5,Married,20-39,2,Master or other Degree Beyond Bachelor,9,private,Healthcare/Medical Services,White alone,Female,high
14760,40-49,4,Married,20-39,2,"Started College, No Diploma",6,private,Healthcare/Medical Services,White alone,Female,low
13863,30-39,3,Married,40-49,3,Associate Degree,7,private,Healthcare/Medical Services,White alone,Male,low
16925,25-29,2,Married,40-49,3,"Started College, No Diploma",6,governmental,Transport,White alone,Male,high
21511,40-49,4,Married,40-49,3,High School or GED Diploma,5,private,Production/Assembly,Black or African American alone,Female,low
15563,30-39,3,Married,40-49,3,"Started College, No Diploma",6,private,Office/Administrative Support,White alone,Female,low
2974,30-39,3,Married,40-49,3,"Started College, No Diploma",6,private,Office/Administrative Support,White alone,Female,low
16890,60-69,6,Separated,40-49,3,Bachelor Degree,8,governmental,Office/Administrative Support,Black or African American alone,Female,high
21487,60-69,6,Married,40-49,3,High School or GED Diploma,5,private,Production/Assembly,White alone,Male,low
8851,40-49,4,Married,40-49,3,"Started College, No Diploma",6,private,Management/Business,White alone,Male,low
4603,25-29,2,Married,20-39,2,Associate Degree,7,governmental,Healthcare/Medical Services,White alone,Female,low
13309,30-39,3,Married,40-49,3,Master or other Degree Beyond Bachelor,9,governmental,Education,White alone,Male,high
4369,60-69,6,Never married,40-49,3,Master or other Degree Beyond Bachelor,9,governmental,Office/Administrative Support,White alone,Male,high
6152,40-49,4,Never married,40-49,3,Associate Degree,7,governmental,Healthcare/Medical Services,Black or African American alone,Female,low
16315,25-29,2,Married,40-49,3,"Started High School, No Diploma",4,private,Transport,White alone,Male,low
21213,25-29,2,Never married,40-49,3,Bachelor Degree,8,governmental,Education,White alone,Female,low
16863,50-59,5,Never married,40-49,3,"Started College, No Diploma",6,private,Office/Administrative Support,Black or African American alone,Male,low
22224,40-49,4,Married,40-49,3,Middle School,3,private,Production/Assembly,White alone,Male,low
4560,50-59,5,Separated,20-39,2,High School or GED Diploma,5,private,Office/Administrative Support,White alone,Female,low
20072,40-49,4,Married,20-39,2,High School or GED Diploma,5,self employed,Service/Hospitality,White alone,Female,low
6895,Older than 70,7,Married,40-49,3,Doctorate Degree,10,governmental,Education,White alone,Male,high
3139,Older than 70,7,Widowed,20-39,2,High School or GED Diploma,5,self employed,Management/Business,White alone,Male,low
6580,Younger than 25,1,Never married,Less than 20,1,"Started College, No Diploma",6,private,"Science, Engineering, Technology",White alone,Male,low
4626,25-29,2,Never married,40-49,3,High School or GED Diploma,5,private,Transport,White alone,Male,low
1464,50-59,5,Married,40-49,3,High School or GED Diploma,5,private,Management/Business,White alone,Male,high
21363,25-29,2,Separated,More than 50,4,"Started College, No Diploma",6,self employed,Production/Assembly,White alone,Female,low
14902,60-69,6,Separated,More than 50,4,"Started High School, No Diploma",4,private,Transport,Black or African American alone,Male,low
10693,Younger than 25,1,Never married,40-49,3,"Started College, No Diploma",6,private,Production/Assembly,White alone,Male,low
11839,Older than 70,7,Widowed,Less than 20,1,High School or GED Diploma,5,private,Healthcare/Medical Services,White alone,Female,low
12988,30-39,3,Separated,40-49,3,Bachelor Degree,8,governmental,Service/Hospitality,White alone,Male,low
7284,30-39,3,Married,40-49,3,Associate Degree,7,private,Management/Business,White alone,Male,low
17163,30-39,3,Never married,40-49,3,Bachelor Degree,8,private,Office/Administrative Support,Black or African American alone,Female,low
3372,30-39,3,Widowed,20-39,2,"Started College, No Diploma",6,private,Service/Hospitality,Black or African American alone,Female,low
17079,50-59,5,Married,40-49,3,Doctorate Degree,10,private,"Science, Engineering, Technology",White alone,Male,high
20531,50-59,5,Married,40-49,3,"Started College, No Diploma",6,private,Healthcare/Medical Services,White alone,Female,high
13807,Younger than 25,1,Married,40-49,3,Bachelor Degree,8,private,Management/Business,White alone,Male,low
9609,40-49,4,Married,40-49,3,Master or other Degree Beyond Bachelor,9,governmental,Education,White alone,Female,low
5880,50-59,5,Married,More than 50,4,"Started College, No Diploma",6,private,Sales,White alone,Male,high
5535,50-59,5,Married,20-39,2,"Started College, No Diploma",6,private,Sales,Black or African American alone,Female,low
12475,30-39,3,Married,40-49,3,Master or other Degree Beyond Bachelor,9,private,Education,White alone,Male,low
22259,25-29,2,Never married,40-49,3,Bachelor Degree,8,private,Healthcare/Medical Services,Black or African American alone,Female,high
10614,25-29,2,Married,40-49,3,"Started High School, No Diploma",4,private,Sales,White alone,Female,low
15616,40-49,4,Married,40-49,3,High School or GED Diploma,5,private,Service/Hospitality,Black or African American alone,Male,low
17619,40-49,4,Married,More than 50,4,High School or GED Diploma,5,private,Production/Assembly,White alone,Male,high
7161,40-49,4,Separated,More than 50,4,Associate Degree,7,governmental,Protective Services,White alone,Male,high
10071,30-39,3,Married,Less than 20,1,"Started College, No Diploma",6,private,Office/Administrative Support,White alone,Female,low
19678,Older than 70,7,Married,40-49,3,Master or other Degree Beyond Bachelor,9,private,Counseling/Mental Health Services,Black or African American alone,Female,high
6872,Younger than 25,1,Never married,Less than 20,1,"Started College, No Diploma",6,private,Sales,Other,Female,low
13738,50-59,5,Married,40-49,3,"Started College, No Diploma",6,private,Sales,White alone,Male,low
10504,50-59,5,Married,40-49,3,High School or GED Diploma,5,private,Office/Administrative Support,White alone,Female,low
3804,60-69,6,Married,40-49,3,High School or GED Diploma,5,self employed,Construction/Extraction,Other,Female,high
20507,30-39,3,Never married,40-49,3,"Started College, No Diploma",6,private,Healthcare/Medical Services,Black or African American alone,Male,low
13857,50-59,5,Married,More than 50,4,"Started College, No Diploma",6,private,Sales,White alone,Male,high
17383,50-59,5,Married,40-49,3,Bachelor Degree,8,private,Management/Business,White alone,Female,low
11327,50-59,5,Married,40-49,3,Bachelor Degree,8,private,Healthcare/Medical Services,White alone,Female,low
4117,25-29,2,Never married,20-39,2,High School or GED Diploma,5,private,Service/Hospitality,Black or African American alone,Female,low
9036,Older than 70,7,Married,40-49,3,Master or other Degree Beyond Bachelor,9,governmental,Education,White alone,Male,high
9157,30-39,3,Married,40-49,3,High School or GED Diploma,5,private,Service/Hospitality,White alone,Male,high
9628,60-69,6,Separated,40-49,3,Master or other Degree Beyond Bachelor,9,self employed,Finance/Accounting,White alone,Male,high
318,40-49,4,Never married,40-49,3,"Started College, No Diploma",6,private,Sales,Black or African American alone,Male,low
14258,50-59,5,Married,40-49,3,High School or GED Diploma,5,self employed,Construction/Extraction,White alone,Male,low
4381,40-49,4,Never married,More than 50,4,High School or GED Diploma,5,private,Transport,Black or African American alone,Male,high
10977,60-69,6,Married,20-39,2,High School or GED Diploma,5,governmental,Education,White alone,Female,low
14942,60-69,6,Married,40-49,3,"Started College, No Diploma",6,private,Management/Business,White alone,Female,high
17573,60-69,6,Separated,40-49,3,Bachelor Degree,8,private,Healthcare/Medical Services,Black or African American alone,Female,high
12904,40-49,4,Separated,40-49,3,Bachelor Degree,8,private,Office/Administrative Support,White alone,Female,high
10227,50-59,5,Widowed,More than 50,4,Master or other Degree Beyond Bachelor,9,self employed,Legal Services,White alone,Male,high
90,30-39,3,Never married,40-49,3,No Elementary School,1,private,Repair/Maintenance,White alone,Male,low
2820,Younger than 25,1,Never married,20-39,2,High School or GED Diploma,5,private,Sales,Black or African American alone,Female,low
16107,Younger than 25,1,Married,40-49,3,High School or GED Diploma,5,private,Repair/Maintenance,White alone,Male,low
7052,40-49,4,Separated,40-49,3,"Started College, No Diploma",6,private,Healthcare/Medical Services,Black or African American alone,Female,low
10550,50-59,5,Separated,40-49,3,High School or GED Diploma,5,private,Production/Assembly,White alone,Female,low
1945,50-59,5,Married,40-49,3,"Started High School, No Diploma",4,self employed,Repair/Maintenance,White alone,Female,low
13869,Younger than 25,1,Never married,20-39,2,"Started College, No Diploma",6,private,Service/Hospitality,Black or African American alone,Female,low
21359,Older than 70,7,Married,20-39,2,Bachelor Degree,8,self employed,Entertainment,White alone,Male,high
3634,40-49,4,Married,More than 50,4,Master or other Degree Beyond Bachelor,9,private,Management/Business,White alone,Male,high
3651,30-39,3,Never married,20-39,2,"Started College, No Diploma",6,self employed,Service/Hospitality,White alone,Male,low
17037,30-39,3,Married,More than 50,4,Master or other Degree Beyond Bachelor,9,private,Healthcare/Medical Services,White alone,Male,high
7307,40-49,4,Separated,40-49,3,Bachelor Degree,8,private,"Science, Engineering, Technology",White alone,Male,low
15978,50-59,5,Separated,More than 50,4,Master or other Degree Beyond Bachelor,9,private,Management/Business,White alone,Male,high
9661,25-29,2,Married,More than 50,4,"Started College, No Diploma",6,private,Production/Assembly,White alone,Male,high
15726,25-29,2,Married,20-39,2,Bachelor Degree,8,private,Sales,White alone,Female,low
20949,Younger than 25,1,Never married,40-49,3,Associate Degree,7,private,Service/Hospitality,White alone,Male,low
10440,50-59,5,Married,40-49,3,"Started College, No Diploma",6,private,Office/Administrative Support,White alone,Female,high
6853,40-49,4,Separated,40-49,3,"Started College, No Diploma",6,private,Production/Assembly,White alone,Female,low
15054,Younger than 25,1,Never married,20-39,2,"Started College, No Diploma",6,private,Sales,White alone,Male,low
18690,40-49,4,Married,40-49,3,"Started College, No Diploma",6,governmental,Repair/Maintenance,White alone,Male,high
9546,50-59,5,Separated,20-39,2,High School or GED Diploma,5,private,Service/Hospitality,Black or African American alone,Female,low
7578,50-59,5,Married,40-49,3,Associate Degree,7,private,Management/Business,White alone,Female,high
12079,Younger than 25,1,Never married,Less than 20,1,"Started College, No Diploma",6,private,Transport,Black or African American alone,Female,low
22032,50-59,5,Married,40-49,3,"Started College, No Diploma",6,private,Management/Business,Black or African American alone,Female,low
10324,60-69,6,Married,20-39,2,"Started College, No Diploma",6,private,Healthcare/Medical Services,White alone,Female,high
2941,Younger than 25,1,Never married,40-49,3,High School or GED Diploma,5,private,Production/Assembly,Black or African American alone,Male,low
10887,60-69,6,Separated,40-49,3,Associate Degree,7,private,"Science, Engineering, Technology",White alone,Male,high
7208,50-59,5,Married,More than 50,4,Bachelor Degree,8,governmental,Education,White alone,Female,low
16466,25-29,2,Married,40-49,3,Bachelor Degree,8,private,Office/Administrative Support,White alone,Female,low
8905,60-69,6,Married,20-39,2,"Started College, No Diploma",6,private,Transport,White alone,Male,low
5448,50-59,5,Married,40-49,3,"Started College, No Diploma",6,private,Production/Assembly,White alone,Female,low
11867,Younger than 25,1,Never married,40-49,3,High School or GED Diploma,5,private,Production/Assembly,Black or African American alone,Female,low
991,60-69,6,Married,40-49,3,High School or GED Diploma,5,private,Transport,Black or African American alone,Male,high
14213,50-59,5,Married,40-49,3,High School or GED Diploma,5,private,Sales,White alone,Male,low
21548,60-69,6,Separated,40-49,3,Bachelor Degree,8,private,Management/Business,White alone,Male,high
14120,50-59,5,Married,40-49,3,High School or GED Diploma,5,governmental,Repair/Maintenance,White alone,Male,low
15559,30-39,3,Never married,40-49,3,"Started College, No Diploma",6,private,Sales,White alone,Male,low
10206,25-29,2,Married,40-49,3,Associate Degree,7,private,"Science, Engineering, Technology",White alone,Male,high
3029,40-49,4,Married,Less than 20,1,Associate Degree,7,private,Sales,White alone,Female,low
11097,30-39,3,Married,40-49,3,High School or GED Diploma,5,governmental,Sales,White alone,Male,high
5201,30-39,3,Never married,20-39,2,High School or GED Diploma,5,private,Healthcare/Medical Services,Black or African American alone,Female,low
21997,50-59,5,Married,20-39,2,"Started College, No Diploma",6,private,Sales,White alone,Female,low
16339,30-39,3,Married,More than 50,4,High School or GED Diploma,5,self employed,Management/Business,White alone,Male,high
18138,Younger than 25,1,Never married,More than 50,4,"Started College, No Diploma",6,private,Office/Administrative Support,White alone,Female,low
1165,60-69,6,Married,40-49,3,Doctorate Degree,10,self employed,Management/Business,White alone,Male,high
10683,30-39,3,Married,20-39,2,Bachelor Degree,8,self employed,Sales,Black or African American alone,Male,low
12238,Older than 70,7,Never married,Less than 20,1,"Started High School, No Diploma",4,private,Protective Services,Black or African American alone,Male,low
21607,60-69,6,Never married,20-39,2,High School or GED Diploma,5,private,Transport,White alone,Female,high
14951,60-69,6,Married,40-49,3,Bachelor Degree,8,private,Management/Business,White alone,Male,high
8783,50-59,5,Married,20-39,2,"Started College, No Diploma",6,private,Sales,White alone,Female,low
11001,60-69,6,Married,Less than 20,1,"Started College, No Diploma",6,private,Production/Assembly,White alone,Male,low
3496,30-39,3,Separated,20-39,2,High School or GED Diploma,5,self employed,Service/Hospitality,White alone,Female,low
14921,25-29,2,Married,20-39,2,"Started College, No Diploma",6,self employed,Sales,White alone,Female,low
19963,Older than 70,7,Married,20-39,2,High School or GED Diploma,5,self employed,Office/Administrative Support,White alone,Female,high
5919,40-49,4,Never married,40-49,3,"Started College, No Diploma",6,private,Service/Hospitality,Black or African American alone,Male,low
4055,Older than 70,7,Widowed,20-39,2,"Started College, No Diploma",6,private,Sales,White alone,Female,high
2822,60-69,6,Separated,20-39,2,"Started College, No Diploma",6,private,Office/Administrative Support,White alone,Female,high
1231,30-39,3,Married,40-49,3,Doctorate Degree,10,private,Sales,White alone,Male,high
7845,Younger than 25,1,Never married,20-39,2,"Started College, No Diploma",6,private,Sales,White alone,Female,low
2023,40-49,4,Married,40-49,3,Bachelor Degree,8,private,Management/Business,White alone,Male,high
2358,40-49,4,Married,20-39,2,High School or GED Diploma,5,private,Sales,White alone,Male,high
10405,40-49,4,Married,More than 50,4,"Started College, No Diploma",6,private,Repair/Maintenance,White alone,Male,high
8816,60-69,6,Married,40-49,3,Bachelor Degree,8,private,Sales,White alone,Male,high
21281,60-69,6,Married,40-49,3,"Started College, No Diploma",6,self employed,Management/Business,White alone,Male,low
21413,50-59,5,Separated,40-49,3,"Started College, No Diploma",6,governmental,Management/Business,Black or African American alone,Female,high
19567,40-49,4,Married,40-49,3,"Started College, No Diploma",6,private,Office/Administrative Support,White alone,Male,low
5442,50-59,5,Separated,Less than 20,1,Bachelor Degree,8,self employed,Construction/Extraction,White alone,Male,low
17490,50-59,5,Married,40-49,3,Master or other Degree Beyond Bachelor,9,private,"Science, Engineering, Technology",White alone,Male,high
13772,30-39,3,Never married,40-49,3,"Started High School, No Diploma",4,governmental,Counseling/Mental Health Services,Black or African American alone,Female,low
5841,25-29,2,Never married,More than 50,4,"Started College, No Diploma",6,private,Management/Business,White alone,Female,low
2736,Younger than 25,1,Never married,20-39,2,High School or GED Diploma,5,private,Office/Administrative Support,White alone,Female,low
9004,60-69,6,Separated,40-49,3,High School or GED Diploma,5,private,Finance/Accounting,White alone,Female,low
14128,Younger than 25,1,Never married,40-49,3,High School or GED Diploma,5,governmental,Office/Administrative Support,Black or African American alone,Male,low
4073,25-29,2,Separated,40-49,3,"Started College, No Diploma",6,private,Healthcare/Medical Services,White alone,Female,low
21189,50-59,5,Married,40-49,3,Bachelor Degree,8,private,Sales,White alone,Female,low
8406,40-49,4,Married,More than 50,4,Bachelor Degree,8,private,Finance/Accounting,White alone,Male,high
18014,25-29,2,Married,40-49,3,High School or GED Diploma,5,governmental,Protective Services,White alone,Male,low
11995,50-59,5,Married,More than 50,4,High School or GED Diploma,5,private,Sales,White alone,Male,high
19101,30-39,3,Never married,20-39,2,Middle School,3,self employed,Healthcare/Medical Services,White alone,Female,high
16448,40-49,4,Married,20-39,2,High School or GED Diploma,5,private,Office/Administrative Support,White alone,Female,low
19145,40-49,4,Never married,40-49,3,High School or GED Diploma,5,private,Service/Hospitality,Black or African American alone,Male,low
3076,50-59,5,Married,40-49,3,"Started College, No Diploma",6,private,Transport,Black or African American alone,Male,low
5822,30-39,3,Married,40-49,3,"Started College, No Diploma",6,private,Office/Administrative Support,Black or African American alone,Female,low
9687,30-39,3,Separated,40-49,3,Associate Degree,7,self employed,"Science, Engineering, Technology",White alone,Male,high
2080,50-59,5,Married,Less than 20,1,"Started College, No Diploma",6,governmental,Transport,White alone,Female,low
22058,60-69,6,Married,40-49,3,Bachelor Degree,8,governmental,Education,Black or African American alone,Male,low
10942,50-59,5,Never married,40-49,3,High School or GED Diploma,5,private,Repair/Maintenance,White alone,Male,low
9933,40-49,4,Married,40-49,3,Bachelor Degree,8,private,Management/Business,White alone,Male,high
13428,50-59,5,Separated,More than 50,4,"Started College, No Diploma",6,governmental,Protective Services,White alone,Male,high
13263,50-59,5,Married,40-49,3,Bachelor Degree,8,private,Management/Business,White alone,Female,high
5922,Older than 70,7,Widowed,40-49,3,"Started College, No Diploma",6,self employed,Management/Business,White alone,Female,low
3077,30-39,3,Separated,40-49,3,Bachelor Degree,8,private,Healthcare/Medical Services,White alone,Female,high
20129,40-49,4,Married,More than 50,4,"Started College, No Diploma",6,private,Management/Business,White alone,Female,low
10767,40-49,4,Married,40-49,3,Bachelor Degree,8,private,Production/Assembly,White alone,Male,low
6259,Younger than 25,1,Never married,Less than 20,1,High School or GED Diploma,5,private,Office/Administrative Support,White alone,Female,low
15191,40-49,4,Separated,Less than 20,1,"Started College, No Diploma",6,private,Sales,White alone,Female,low
9354,60-69,6,Married,20-39,2,High School or GED Diploma,5,governmental,Service/Hospitality,White alone,Female,low
14214,50-59,5,Married,Less than 20,1,Associate Degree,7,self employed,Healthcare/Medical Services,White alone,Female,low
19098,40-49,4,Never married,40-49,3,Master or other Degree Beyond Bachelor,9,private,"Science, Engineering, Technology",Black or African American alone,Female,high
4506,30-39,3,Never married,More than 50,4,Bachelor Degree,8,private,Repair/Maintenance,White alone,Male,low
5284,30-39,3,Married,20-39,2,High School or GED Diploma,5,private,Management/Business,Black or African American alone,Male,low
22109,Younger than 25,1,Never married,Less than 20,1,"Started College, No Diploma",6,private,Service/Hospitality,White alone,Female,low
805,Older than 70,7,Never married,40-49,3,"Started High School, No Diploma",4,governmental,Service/Hospitality,Black or African American alone,Male,low
15912,25-29,2,Married,40-49,3,"Started College, No Diploma",6,private,Repair/Maintenance,White alone,Male,low
19519,Older than 70,7,Married,40-49,3,"Started College, No Diploma",6,private,Repair/Maintenance,White alone,Male,low
12658,60-69,6,Married,40-49,3,"Started College, No Diploma",6,private,"Science, Engineering, Technology",Black or African American alone,Male,low
17678,50-59,5,Married,20-39,2,Associate Degree,7,private,Healthcare/Medical Services,White alone,Female,high
20112,40-49,4,Married,More than 50,4,Bachelor Degree,8,governmental,Education,White alone,Female,low
2094,Younger than 25,1,Married,40-49,3,High School or GED Diploma,5,private,Sales,White alone,Female,low
20202,50-59,5,Married,40-49,3,"Started College, No Diploma",6,private,Office/Administrative Support,White alone,Female,low
1335,Younger than 25,1,Never married,20-39,2,"Started High School, No Diploma",4,private,Service/Hospitality,White alone,Female,low
13551,50-59,5,Married,20-39,2,Master or other Degree Beyond Bachelor,9,private,Education,White alone,Female,high
